Player ID,Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Matches,Player Link
28d596a0,1,Kepa Arrizabalaga,es ESP,GK,es Real Madrid,29-158,1994,4,4,360,4.0,5,1.25,15,10,73.3,4,0,0,1,25.0,1,1,0,0,0.0,Matches,https://fbref.com/en/players/28d596a0/Kepa-Arrizabalaga
649b01d8,2,Emil Audero,it ITA,GK,it Inter,27-051,1997,1,1,90,1.0,3,3.00,5,2,40.0,0,1,0,0,0.0,0,0,0,0,,Matches,https://fbref.com/en/players/649b01d8/Emil-Audero
f7b10c66,3,David von Ballmoos,ch SUI,GK,ch Young Boys,29-070,1994,1,1,90,1.0,2,2.00,2,0,0.0,0,0,1,0,0.0,0,0,0,0,,Matches,https://fbref.com/en/players/f7b10c66/David-von-Ballmoos
8a2248b4,4,Walter Benítez,ar ARG,GK,nl PSV Eindhoven,31-050,1993,7,7,630,7.0,11,1.57,27,16,59.3,2,4,1,1,14.3,0,0,0,0,,Matches,https://fbref.com/en/players/8a2248b4/Walter-Benitez
53d93280,5,Justin Bijlow,nl NED,GK,nl Feyenoord,26-047,1998,4,4,360,4.0,7,1.75,15,10,66.7,1,0,3,0,0.0,2,2,0,0,0.0,Matches,https://fbref.com/en/players/53d93280/Justin-Bijlow
663e080e,6,Janis Blaswich,de GER,GK,de RB Leipzig,32-312,1991,5,5,450,5.0,9,1.80,21,13,57.1,3,0,2,0,0.0,0,0,0,0,,Matches,https://fbref.com/en/players/663e080e/Janis-Blaswich
7f40333d,7,Jean Butez,fr FRA,GK,be Antwerp,28-275,1995,5,5,450,5.0,15,3.00,30,16,50.0,1,0,4,0,0.0,0,0,0,0,,Matches,https://fbref.com/en/players/7f40333d/Jean-Butez
93fffbcf,8,Diogo Costa,pt POR,GK,pt Porto,24-172,1999,7,7,630,7.0,8,1.14,24,17,66.7,5,0,2,2,28.6,0,0,0,0,,Matches,https://fbref.com/en/players/93fffbcf/Diogo-Costa
ac295d9e,9,Marko Dmitrović,rs SRB,GK,es Sevilla,32-045,1992,4,4,360,4.0,8,2.00,15,8,53.3,0,1,3,0,0.0,1,1,0,0,0.0,Matches,https://fbref.com/en/players/ac295d9e/Marko-Dmitrovic
08f5afaa,10,Gianluigi Donnarumma,it ITA,GK,fr Paris S-G,25-013,1999,8,8,720,8.0,9,1.13,36,27,75.0,4,2,2,3,37.5,0,0,0,0,,Matches,https://fbref.com/en/players/08f5afaa/Gianluigi-Donnarumma
3a949a25,11,Martin Dúbravka,sk SVK,GK,eng Newcastle Utd,35-054,1989,1,1,90,1.0,2,2.00,2,0,0.0,0,0,1,0,0.0,0,0,0,0,,Matches,https://fbref.com/en/players/3a949a25/Martin-Dubravka
3bb7b8b4,12,Ederson,br BRA,GK,eng Manchester City,30-205,1993,6,6,540,6.0,5,0.83,10,5,50.0,6,0,0,1,16.7,0,0,0,0,,Matches,https://fbref.com/en/players/3bb7b8b4/Ederson
78c513b3,13,Omri Glazer,il ISR,GK,rs Red Star,27-364,1996,6,6,540,6.0,15,2.50,45,31,71.1,0,1,5,0,0.0,2,2,0,0,0.0,Matches,https://fbref.com/en/players/78c513b3/Omri-Glazer
62182b1d,14,Kamil Grabara,pl POL,GK,dk FC Copenhagen,25-061,1999,8,8,720,8.0,14,1.75,44,30,70.5,2,2,4,2,25.0,1,1,0,0,0.0,Matches,https://fbref.com/en/players/62182b1d/Kamil-Grabara
bcb2ccd8,15,Péter Gulácsi,hu HUN,GK,de RB Leipzig,33-308,1990,3,3,270,3.0,3,1.00,9,6,66.7,1,1,1,0,0.0,0,0,0,0,,Matches,https://fbref.com/en/players/bcb2ccd8/Peter-Gulacsi
cb4f24c6,16,Joe Hart,eng ENG,GK,sct Celtic,36-325,1987,6,6,540,6.0,15,2.50,38,21,60.5,1,1,4,0,0.0,2,0,2,0,100.0,Matches,https://fbref.com/en/players/cb4f24c6/Joe-Hart
cd59b9df,17,Gregor Kobel,ch SUI,GK,de Dortmund,26-094,1997,6,6,540,6.0,4,0.67,22,17,86.4,3,2,1,3,50.0,2,1,1,0,50.0,Matches,https://fbref.com/en/players/cd59b9df/Gregor-Kobel
8e6d2fcd,18,Senne Lammens,be BEL,GK,be Antwerp,21-246,2002,1,1,90,1.0,2,2.00,6,4,83.3,0,0,1,0,0.0,1,1,0,0,0.0,Matches,https://fbref.com/en/players/8e6d2fcd/Senne-Lammens
3061e1ec,19,Andriy Lunin,ua UKR,GK,es Real Madrid,25-027,1999,4,4,360,4.0,3,0.75,20,16,85.0,3,1,0,2,50.0,1,0,1,0,100.0,Matches,https://fbref.com/en/players/3061e1ec/Andriy-Lunin
fcb38f57,20,Mike Maignan,fr FRA,GK,it Milan,28-250,1995,6,6,530,5.9,8,1.36,26,18,73.1,2,2,2,1,16.7,1,1,0,0,0.0,Matches,https://fbref.com/en/players/fcb38f57/Mike-Maignan
ef3909cd,21,Matheus,br BRA,GK,pt Braga,31-234,1992,6,6,540,6.0,12,2.00,32,22,62.5,1,1,4,0,0.0,0,0,0,0,,Matches,https://fbref.com/en/players/ef3909cd/Matheus
9413b19f,22,Alex Meret,it ITA,GK,it Napoli,26-353,1997,7,7,630,7.0,10,1.43,35,26,71.4,3,2,2,2,28.6,0,0,0,0,,Matches,https://fbref.com/en/players/9413b19f/Alex-Meret
b56dd813,23,Alexander Meyer,de GER,GK,de Dortmund,32-331,1991,1,1,90,1.0,1,1.00,4,3,100.0,0,1,0,0,0.0,1,1,0,0,0.0,Matches,https://fbref.com/en/players/b56dd813/Alexander-Meyer
a2abe631,24,Fernando Muslera,uy URU,GK,tr Galatasaray,37-267,1986,6,6,540,6.0,13,2.17,25,12,48.0,1,2,3,0,0.0,0,0,0,0,,Matches,https://fbref.com/en/players/a2abe631/Fernando-Muslera
8778c910,25,Manuel Neuer,de GER,GK,de Bayern Munich,37-348,1986,5,5,450,5.0,2,0.40,10,8,90.0,3,1,1,3,60.0,1,1,0,0,0.0,Matches,https://fbref.com/en/players/8778c910/Manuel-Neuer
bdedffac,26,Ørjan Nyland,no NOR,GK,es Sevilla,33-181,1990,2,2,180,2.0,4,2.00,12,8,75.0,0,1,1,0,0.0,1,1,0,0,0.0,Matches,https://fbref.com/en/players/bdedffac/Orjan-Nyland
ee8508c0,27,Jan Oblak,si SVN,GK,es Atlético Madrid,31-062,1993,7,7,630,7.0,7,1.00,31,25,77.4,4,2,1,2,28.6,0,0,0,0,,Matches,https://fbref.com/en/players/ee8508c0/Jan-Oblak
e9c0c1b2,28,André Onana,cm CMR,GK,eng Manchester Utd,27-342,1996,6,6,540,6.0,15,2.50,35,19,62.9,1,1,4,1,16.7,4,2,1,1,33.3,Matches,https://fbref.com/en/players/e9c0c1b2/Andre-Onana
c1242d4e,29,Stefan Ortega,de GER,GK,eng Manchester City,31-124,1992,2,2,180,2.0,4,2.00,9,5,55.6,2,0,0,0,0.0,0,0,0,0,,Matches,https://fbref.com/en/players/c1242d4e/Stefan-Ortega
cc1c5035,30,Iñaki Peña,es ESP,GK,es Barcelona,25-007,1999,2,2,180,2.0,4,2.00,10,6,60.0,1,0,1,0,0.0,0,0,0,0,,Matches,https://fbref.com/en/players/cc1c5035/Inaki-Pena
4b40d9ca,31,Nick Pope,eng ENG,GK,eng Newcastle Utd,31-325,1992,5,5,450,5.0,5,1.00,30,25,86.7,1,2,2,1,20.0,1,1,0,0,0.0,Matches,https://fbref.com/en/players/4b40d9ca/Nick-Pope
277da414,32,Ivan Provedel,it ITA,GK,it Lazio,29-358,1994,8,8,720,8.0,10,1.25,31,21,67.7,4,1,3,3,37.5,0,0,0,0,,Matches,https://fbref.com/en/players/277da414/Ivan-Provedel
abc06eb3,33,Anthony Racioppi,ch SUI,GK,ch Young Boys,25-069,1998,5,5,450,5.0,11,2.20,42,31,78.6,1,1,3,1,20.0,2,2,0,0,0.0,Matches,https://fbref.com/en/players/abc06eb3/Anthony-Racioppi
466fb2c5,34,Aaron Ramsdale,eng ENG,GK,eng Arsenal,25-300,1998,1,1,90,1.0,1,1.00,5,4,80.0,0,1,0,0,0.0,0,0,0,0,,Matches,https://fbref.com/en/players/466fb2c5/Aaron-Ramsdale
98ea5115,35,David Raya,es ESP,GK,eng Arsenal,28-176,1995,6,6,540,6.0,4,0.67,15,11,73.3,4,0,2,3,50.0,0,0,0,0,,Matches,https://fbref.com/en/players/98ea5115/David-Raya
374ee424,36,Álex Remiro,es ESP,GK,es Real Sociedad,28-351,1995,8,8,720,8.0,6,0.75,25,19,76.0,3,3,2,4,50.0,0,0,0,0,,Matches,https://fbref.com/en/players/374ee424/Alex-Remiro
0e09dd0d,37,Dmytro Riznyk,ua UKR,GK,ua Shakhtar,25-039,1999,6,6,540,6.0,12,2.00,37,25,67.6,3,0,3,2,33.3,1,0,0,1,,Matches,https://fbref.com/en/players/0e09dd0d/Dmytro-Riznyk
a70b8345,38,Frederik Rønnow,dk DEN,GK,de Union Berlin,31-218,1992,6,6,540,6.0,10,1.67,29,18,65.5,0,2,4,0,0.0,1,0,1,0,100.0,Matches,https://fbref.com/en/players/a70b8345/Frederik-Ronnow
60d90c55,39,Brice Samba,fr FRA,GK,fr Lens,29-319,1994,6,6,540,6.0,11,1.83,32,21,71.9,2,2,2,0,0.0,2,2,0,0,0.0,Matches,https://fbref.com/en/players/60d90c55/Brice-Samba
6fe5c35b,40,Alexander Schlager,at AUT,GK,at RB Salzburg,28-037,1996,6,6,540,6.0,8,1.33,33,25,81.8,1,1,4,2,33.3,2,2,0,0,0.0,Matches,https://fbref.com/en/players/6fe5c35b/Alexander-Schlager
420c18a1,41,Yann Sommer,ch SUI,GK,it Inter,35-083,1988,6,6,540,6.0,2,0.33,20,18,90.0,4,2,0,4,66.7,0,0,0,0,,Matches,https://fbref.com/en/players/420c18a1/Yann-Sommer
ac4003af,42,Marco Sportiello,it ITA,GK,it Milan,31-304,1992,1,0,10,0.1,0,0.00,1,1,100.0,0,0,0,1,,0,0,0,0,,Matches,https://fbref.com/en/players/ac4003af/Marco-Sportiello
6f51e382,43,Marc-André ter Stegen,de GER,GK,es Barcelona,31-314,1992,5,5,450,5.0,3,0.60,12,9,75.0,3,1,1,2,40.0,0,0,0,0,,Matches,https://fbref.com/en/players/6f51e382/Marc-Andre-ter-Stegen
41f0b196,44,Anatolii Trubin,ua UKR,GK,pt Benfica,22-221,2001,6,6,540,6.0,11,1.83,34,23,73.5,1,1,4,0,0.0,4,2,0,2,0.0,Matches,https://fbref.com/en/players/41f0b196/Anatolii-Trubin
7d3e7da6,45,Sven Ulreich,de GER,GK,de Bayern Munich,35-219,1988,3,3,270,3.0,5,1.67,12,7,66.7,3,0,0,0,0.0,1,1,0,0,0.0,Matches,https://fbref.com/en/players/7d3e7da6/Sven-Ulreich
2f18d0b8,46,Timon Wellenreuther,de GER,GK,nl Feyenoord,28-097,1995,2,2,180,2.0,3,1.50,6,3,50.0,1,0,1,1,50.0,0,0,0,0,,Matches,https://fbref.com/en/players/2f18d0b8/Timon-Wellenreuther
