Player ID,Player,Pos,Squad,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,Sh/90,SoT/90,SoT%,G/Sh,G/SoT,SCA90,GCA90,GA90,Save%,SoTA
5f09991f,Patrick van Aanholt,"MF,DF",nl PSV Eindhoven,0.0,0.0,0.0,0.0,0.0,1.82,0.91,50.0,0.0,0.0,0.91,0.0,,,
b96b595c,Francesco Acerbi,DF,it Inter,0.0,0.24,0.24,0.0,0.24,0.24,0.0,0.0,0.0,,0.48,0.24,,,
4dd2a0be,Elias Achouri,"FW,MF",dk FC Copenhagen,0.0,0.16,0.16,0.0,0.16,1.63,0.33,20.0,0.0,0.0,3.09,0.16,,,
501055d8,Karim Adeyemi,FW,de Dortmund,0.53,0.26,0.79,0.53,0.79,1.85,1.06,57.1,0.29,0.5,3.71,0.26,,,
89ac64a6,Manuel Akanji,"DF,MF",eng Manchester City,0.39,0.0,0.39,0.39,0.39,0.58,0.39,66.7,0.67,1.0,1.16,0.0,,,
eaeca114,Nathan Aké,"DF,MF",eng Manchester City,0.0,0.0,0.0,0.0,0.0,0.94,0.47,50.0,0.0,0.0,3.98,0.23,,,
05439de2,David Alaba,DF,es Real Madrid,0.0,0.36,0.36,0.0,0.36,1.44,0.0,0.0,0.0,,1.08,0.36,,,
5294a83f,Luis Alberto,MF,it Lazio,0.0,0.14,0.14,0.0,0.14,1.96,0.42,21.4,0.0,0.0,5.48,0.28,,,
f8405304,Mohamed Ali Cho,"FW,MF",es Real Sociedad,0.0,0.0,0.0,0.0,0.0,0.69,0.69,100.0,0.0,0.0,1.37,0.0,,,
f4290206,Marcos Alonso,"DF,FW",es Barcelona,0.0,0.0,0.0,0.0,0.0,0.65,0.65,100.0,0.0,0.0,1.29,0.0,,,
15ab5a2b,Julián Álvarez,"MF,FW",eng Manchester City,1.81,0.73,2.54,1.81,2.54,5.08,3.27,64.3,0.36,0.56,9.8,1.45,,,
9f1893b9,Felipe Anderson,FW,it Lazio,0.0,0.17,0.17,0.0,0.17,1.49,0.17,11.1,0.0,0.0,2.82,0.17,,,
df525574,Peter Ankersen,DF,dk FC Copenhagen,0.0,0.0,0.0,0.0,0.0,0.77,0.0,0.0,0.0,,1.55,0.19,,,
dc7a172e,Jon Aramburu,DF,es Real Sociedad,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,
2bef2bca,Ronald Araújo,DF,es Barcelona,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,1.6,0.0,,,
00459419,Marko Arnautović,FW,it Inter,0.94,0.0,0.94,0.94,0.94,3.28,1.41,42.9,0.29,0.67,0.47,0.0,,,
28d596a0,Kepa Arrizabalaga,GK,es Real Madrid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.25,0.0,1.25,73.3,15.0
45af8a54,Marco Asensio,"FW,MF",fr Paris S-G,0.0,0.0,0.0,0.0,0.0,7.3,2.43,33.3,0.0,0.0,0.0,0.0,,,
0fdcef0e,Kristjan Asllani,MF,it Inter,0.0,0.0,0.0,0.0,0.0,1.76,0.88,50.0,0.0,0.0,2.2,0.0,,,
6f22e535,Otavio Ataide,DF,pt Porto,0.0,1.0,1.0,0.0,1.0,0.0,0.0,,,,1.0,1.0,,,
649b01d8,Emil Audero,GK,it Inter,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,3.0,40.0,5.0
3963c25b,Yann Aurel Bisseck,DF,it Inter,0.0,0.0,0.0,0.0,0.0,1.33,0.67,50.0,0.0,0.0,3.33,0.67,,,
53cad200,César Azpilicueta,DF,es Atlético Madrid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,2.03,0.68,,,
52f7e3a7,Isaac Babadi,FW,nl PSV Eindhoven,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,5.29,0.0,,,
0caa2fd4,Johan Bakayoko,FW,nl PSV Eindhoven,0.16,0.16,0.32,0.16,0.32,3.38,1.29,38.1,0.05,0.13,4.99,0.16,,,
5ccc9672,Alejandro Balde,DF,es Barcelona,0.0,0.0,0.0,0.0,0.0,0.54,0.0,0.0,0.0,,1.36,0.0,,,
a0d55a09,Bradley Barcola,"FW,DF",fr Paris S-G,0.34,0.0,0.34,0.34,0.34,3.44,1.37,40.0,0.1,0.25,2.75,0.34,,,
88ce7ddc,Roony Bardghji,"MF,FW",dk FC Copenhagen,0.62,0.0,0.62,0.62,0.62,2.47,0.62,25.0,0.25,1.0,2.47,0.0,,,
6928979a,Nicolò Barella,MF,it Inter,0.0,0.0,0.0,0.0,0.0,1.17,0.47,40.0,0.0,0.0,5.61,0.47,,,
a4e16ab4,Romário Baró,MF,pt Porto,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,2.86,0.0,,,
200e89e1,Ander Barrenetxea,"FW,MF",es Real Sociedad,0.23,0.23,0.45,0.23,0.45,2.04,0.23,11.1,0.11,1.0,4.76,0.68,,,
45736cec,Pablo Barrios,MF,es Atlético Madrid,0.61,0.61,1.22,0.61,1.22,1.82,1.22,66.7,0.33,0.5,1.82,0.61,,,
75b86fb3,Alessandro Bastoni,DF,it Inter,0.0,0.0,0.0,0.0,0.0,0.63,0.0,0.0,0.0,,2.52,0.21,,,
437f2b00,Christoph Baumgartner,MF,de RB Leipzig,0.0,0.0,0.0,0.0,0.0,4.58,0.0,0.0,0.0,,3.78,0.76,,,
8eb55dbb,Sheraldo Becker,FW,es Real Sociedad,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,
a39d11bc,Armel Bella Kotchap,DF,nl PSV Eindhoven,0.0,0.0,0.0,0.0,0.0,1.07,0.0,0.0,0.0,,1.07,0.0,,,
57d88cf9,Jude Bellingham,"MF,FW",es Real Madrid,0.68,0.68,1.35,0.68,1.35,3.21,1.18,36.8,0.21,0.57,6.26,1.02,,,
8a2248b4,Walter Benítez,GK,nl PSV Eindhoven,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.29,0.0,1.57,59.3,27.0
378825c7,Ramy Bensebaini,DF,de Dortmund,0.0,0.0,0.0,0.0,0.0,0.72,0.24,33.3,0.0,0.0,2.41,0.24,,,
b8aedf06,Lucas Beraldo,DF,fr Paris S-G,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.5,0.0,,,
663e080e,Janis Blaswich,GK,de RB Leipzig,0.0,0.2,0.2,0.0,0.2,0.0,0.0,,,,0.2,0.2,1.8,57.1,21.0
eed2427e,Oscar Bobb,"FW,MF",eng Manchester City,0.41,0.0,0.41,0.41,0.41,1.65,0.83,50.0,0.25,0.5,4.95,0.0,,,
08fe932d,Nicolai Boilesen,"DF,FW",dk FC Copenhagen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,
4d1c4a5d,Gonçalo Borges,FW,pt Porto,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,
403f5d20,Olivier Boscagli,DF,nl PSV Eindhoven,0.0,0.0,0.0,0.0,0.0,0.17,0.0,0.0,0.0,,1.04,0.0,,,
a167537f,Julian Brandt,"MF,FW",de Dortmund,0.26,0.0,0.26,0.26,0.26,1.83,0.78,42.9,0.14,0.33,4.7,0.0,,,
10745192,Jamie Bynoe-Gittens,"FW,MF",de Dortmund,0.57,0.0,0.57,0.57,0.57,2.28,0.57,25.0,0.25,1.0,5.13,0.57,,,
928a4a61,Jens Cajuste,MF,it Napoli,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,
cd0fa27b,Hakan Çalhanoğlu,MF,it Inter,0.23,0.0,0.23,0.0,0.0,1.62,0.46,28.6,0.0,0.0,3.93,0.0,,,
7b9c2d84,Eduardo Camavinga,"MF,DF",es Real Madrid,0.0,0.2,0.2,0.0,0.2,1.43,0.41,28.6,0.0,0.0,2.23,0.2,,,
a65ce836,Emre Can,"MF,DF",de Dortmund,0.0,0.0,0.0,0.0,0.0,0.93,0.0,0.0,0.0,,0.93,0.0,,,
bd6351cd,João Cancelo,DF,es Barcelona,0.16,0.16,0.33,0.16,0.33,1.15,0.66,57.1,0.14,0.25,4.11,0.33,,,
4a5839fa,Fábio Cardoso,DF,pt Porto,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,
8d3cd59d,Carlos,"DF,FW",it Inter,0.0,0.0,0.0,0.0,0.0,1.14,0.38,33.3,0.0,0.0,1.14,0.0,,,
3ce20eda,David Carmo,DF,pt Porto,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,,0.75,0.0,,,
4958bfb2,Dani Carvajal,DF,es Real Madrid,0.0,0.19,0.19,0.0,0.19,0.39,0.0,0.0,0.0,,2.51,0.19,,,
966e28d0,Fabio Carvalho,MF,de RB Leipzig,0.0,0.0,0.0,0.0,0.0,2.93,0.73,25.0,0.0,0.0,2.2,0.0,,,
2ef08833,Marc Casado,MF,es Barcelona,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,3.75,0.0,,,
3f5f38fb,Nicolò Casale,DF,it Lazio,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,
da76bab4,Valentín Castellanos,FW,it Lazio,0.0,0.0,0.0,0.0,0.0,2.89,0.41,14.3,0.0,0.0,2.06,0.41,,,
ba3d3bea,Danilo Cataldi,MF,it Lazio,0.0,0.0,0.0,0.0,0.0,0.56,0.56,100.0,0.0,0.0,2.25,0.56,,,
c0617e2b,Dani Ceballos,MF,es Real Madrid,0.59,0.0,0.59,0.59,0.59,1.18,0.59,50.0,0.5,1.0,4.14,0.0,,,
1cb49278,Andreas Christensen,"DF,MF",es Barcelona,0.0,0.0,0.0,0.0,0.0,0.49,0.0,0.0,0.0,,1.48,0.0,,,
b3a712de,Viktor Claesson,"FW,MF",dk FC Copenhagen,0.0,0.0,0.0,0.0,0.0,1.13,0.19,16.7,0.0,0.0,2.07,0.38,,,
b9beb6c5,William Clem,MF,dk FC Copenhagen,0.0,0.0,0.0,0.0,0.0,1.32,0.0,0.0,0.0,,0.0,0.0,,,
042e8a49,Kingsley Coman,FW,de Bayern Munich,0.43,0.0,0.43,0.43,0.43,1.92,0.64,33.3,0.22,0.67,2.99,0.0,,,
5ef3d210,Francisco Conceição,"FW,MF",pt Porto,0.64,0.64,1.28,0.64,1.28,2.55,1.28,50.0,0.25,0.5,3.8,0.63,,,
c693347d,Andreas Cornelius,"FW,MF",dk FC Copenhagen,0.0,0.0,0.0,0.0,0.0,1.1,1.1,100.0,0.0,0.0,3.29,0.0,,,
01eb744d,Ángel Correa,FW,es Atlético Madrid,0.0,0.0,0.0,0.0,0.0,3.72,1.65,44.4,0.0,0.0,5.78,0.41,,,
93fffbcf,Diogo Costa,GK,pt Porto,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,1.14,66.7,24.0
0ab1f153,Juan Cuadrado,"DF,FW",it Inter,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,,1.59,0.0,,,
96e0490d,Matteo Darmian,"DF,FW",it Inter,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,,2.51,0.0,,,
d781d855,Alphonso Davies,DF,de Bayern Munich,0.0,0.0,0.0,0.0,0.0,0.33,0.0,0.0,0.0,,1.81,0.0,,,
e46012d4,Kevin De Bruyne,MF,eng Manchester City,1.0,2.0,3.0,1.0,3.0,7.0,3.0,42.9,0.14,0.33,6.0,0.0,,,
162efffd,Rodrigo De Paul,MF,es Atlético Madrid,0.0,0.0,0.0,0.0,0.0,0.47,0.0,0.0,0.0,,3.32,0.0,,,
b19db005,Ousmane Dembélé,"FW,MF",fr Paris S-G,0.0,0.15,0.15,0.0,0.15,2.73,1.06,38.9,0.0,0.0,4.4,0.61,,,
5976f83e,Sergiño Dest,DF,nl PSV Eindhoven,0.0,0.16,0.16,0.0,0.16,0.48,0.32,66.7,0.0,0.0,1.62,0.16,,,
230a2fac,Giovanni Di Lorenzo,DF,it Napoli,0.14,0.14,0.29,0.14,0.29,1.0,0.29,28.6,0.14,0.5,2.14,0.14,,,
31c69ef1,Rúben Dias,DF,eng Manchester City,0.0,0.0,0.0,0.0,0.0,0.81,0.32,40.0,0.0,0.0,1.62,0.32,,,
407feb71,Brahim Díaz,"MF,FW",es Real Madrid,0.74,0.37,1.12,0.74,1.12,2.6,1.12,42.9,0.29,0.67,5.95,1.49,,,
ac861941,Eric Dier,DF,de Bayern Munich,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,,,
f179ee11,Kevin Diks,DF,dk FC Copenhagen,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,,1.15,0.0,,,
970b8574,Federico Dimarco,DF,it Inter,0.0,0.0,0.0,0.0,0.0,1.6,0.64,40.0,0.0,0.0,2.88,0.0,,,
fffea3e5,Jeremy Doku,FW,eng Manchester City,0.35,0.35,0.71,0.35,0.71,3.18,2.12,66.7,0.11,0.17,6.0,0.71,,,
08f5afaa,Gianluigi Donnarumma,GK,fr Paris S-G,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.12,0.0,1.13,75.0,36.0
67ac5bb8,Gabriel Dos Santos,DF,eng Arsenal,0.0,0.0,0.0,0.0,0.0,0.57,0.14,25.0,0.0,0.0,0.43,0.14,,,
481c9ece,Denzel Dumfries,DF,it Inter,0.0,0.36,0.36,0.0,0.36,1.81,0.0,0.0,0.0,,2.18,0.36,,,
3bb7b8b4,Ederson,GK,eng Manchester City,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.17,0.0,0.83,50.0,10.0
c8d1c3a5,Jorge Eduardo Sánchez,DF,pt Porto,0.0,0.0,0.0,0.0,0.0,1.2,0.6,50.0,0.0,0.0,2.37,0.0,,,
cf007308,Elif Elmas,MF,de RB Leipzig,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,4.29,0.0,,,
cf007308,Elif Elmas,"FW,MF",it Napoli,0.0,0.0,0.0,0.0,0.0,1.22,0.0,0.0,0.0,,3.04,0.0,,,
47a34c4f,Mohamed Elneny,MF,eng Arsenal,0.0,0.0,0.0,0.0,0.0,1.45,0.0,0.0,0.0,,0.0,0.0,,,
f7dc2ae5,Aritz Elustondo,DF,es Real Sociedad,0.0,0.0,0.0,0.0,0.0,1.05,0.0,0.0,0.0,,0.52,0.0,,,
68dc0dac,Mohamed Elyounoussi,"FW,MF",dk FC Copenhagen,0.39,0.0,0.39,0.39,0.39,2.24,0.92,41.2,0.18,0.43,3.42,0.39,,,
577efaec,Stephen Eustáquio,MF,pt Porto,0.18,0.0,0.18,0.18,0.18,1.23,0.7,57.1,0.14,0.25,2.63,0.35,,,
6f3cc2fe,Evanilson,FW,pt Porto,0.9,0.22,1.12,0.67,0.9,2.02,1.12,55.6,0.33,0.6,3.59,0.22,,,
762179d9,Rasmus Falk,MF,dk FC Copenhagen,0.0,0.14,0.14,0.0,0.14,0.29,0.14,50.0,0.0,0.0,1.57,0.29,,,
8aafd64f,João Félix,FW,es Barcelona,0.84,0.28,1.13,0.84,1.13,4.5,1.69,37.5,0.19,0.5,3.09,0.56,,,
e08647d6,Carlos Fernández,FW,es Real Sociedad,0.0,0.0,0.0,0.0,0.0,1.32,0.0,0.0,0.0,,1.32,0.0,,,
ed1e53f3,Phil Foden,"FW,MF",eng Manchester City,0.76,0.76,1.52,0.76,1.52,4.55,1.71,37.5,0.17,0.44,5.49,1.52,,,
9a2e0ccc,Emil Forsberg,"MF,FW",de RB Leipzig,0.22,0.0,0.22,0.22,0.22,2.0,0.22,11.1,0.11,1.0,2.89,0.22,,,
2e31f3a6,Héctor Fort,DF,es Barcelona,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,
86df4d6b,André Franco,"MF,FW",pt Porto,0.0,0.0,0.0,0.0,0.0,1.91,0.76,40.0,0.0,0.0,2.68,0.38,,,
2a7d27c1,Davide Frattesi,MF,it Inter,0.22,0.43,0.65,0.22,0.65,1.95,0.43,22.2,0.11,0.5,3.25,0.65,,,
046ca6db,Victor Froholdt,MF,dk FC Copenhagen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,
4f16405e,Niclas Füllkrug,FW,de Dortmund,0.17,0.17,0.34,0.17,0.34,2.39,0.68,28.6,0.07,0.25,3.58,1.02,,,
3b387cc7,Gianluca Gaetano,MF,it Napoli,0.0,0.0,0.0,0.0,0.0,4.09,0.0,0.0,0.0,,12.27,0.0,,,
a4b00319,Javi Galán,DF,es Atlético Madrid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,2.43,0.0,,,
a4b00319,Javi Galán,DF,es Real Sociedad,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,2.03,0.0,,,
5b3d1a7a,Galeno,"MF,FW",pt Porto,0.85,0.68,1.53,0.85,1.53,2.55,1.7,66.7,0.33,0.5,4.08,1.02,,,
7226539b,Fran Garcia,DF,es Real Madrid,0.0,0.48,0.48,0.0,0.48,0.0,0.0,,,,2.86,0.95,,,
19cae58d,Gavi,MF,es Barcelona,0.4,0.0,0.4,0.4,0.4,1.19,0.8,66.7,0.33,0.5,1.19,0.0,,,
9c435456,Mario Gila,DF,it Lazio,0.0,0.0,0.0,0.0,0.0,0.77,0.51,66.7,0.0,0.0,0.26,0.0,,,
88e357ef,Serge Gnabry,FW,de Bayern Munich,0.96,0.0,0.96,0.96,0.96,0.96,0.96,100.0,1.0,1.0,1.91,0.0,,,
01e5f06e,Sergio Gómez,"DF,FW",eng Manchester City,0.0,0.0,0.0,0.0,0.0,1.86,0.0,0.0,0.0,,4.64,0.0,,,
f4b52308,Diogo Gonçalves,MF,dk FC Copenhagen,0.34,0.17,0.51,0.17,0.34,1.87,0.51,27.3,0.09,0.33,2.21,0.34,,,
2c56a792,Nicolás González,MF,pt Porto,0.0,0.0,0.0,0.0,0.0,1.48,0.0,0.0,0.0,,2.21,0.0,,,
cc86b9a3,Leon Goretzka,"MF,DF",de Bayern Munich,0.0,0.0,0.0,0.0,0.0,0.67,0.0,0.0,0.0,,3.02,0.34,,,
62182b1d,Kamil Grabara,GK,dk FC Copenhagen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,1.75,70.5,44.0
b0b4fd3e,Jack Grealish,FW,eng Manchester City,0.0,0.24,0.24,0.0,0.24,1.46,0.73,50.0,0.0,0.0,5.85,0.73,,,
